Input Word,True Output,My Decoded Output,Matching or Not
yadav,యాదవ్,యాదవ్,Yes
anup,అనూప్,అనూప్,Yes
viswaasaanni,విశ్వాసాన్ని,విశ్వాసాన్ని,Yes
dhigindhi,దిగింది,ధిగింది,No
tisukochhesthunnadu,తీసుకొచ్చేస్తున్నా,తిసుకొచ్చేస్తున్నాడు,No
nikorika,నీకోరిక,నికోరిక,No
antava,అంటావా,అంటావా,Yes
mokkubadigaane,మొక్కుబడిగానే,మొక్కుబడిగానే,Yes
chendhinadhe,చెందినదే,చెంధినాధే,No
laatoomod,లాటూమోడ్,లాటూమోడ్,Yes
bharatpur,భరత్పూర్,భారతత్ూర్,No
patrikaloo,పత్రికలూ,పత్రికలో,No
kaavinchukunnaadu,కావించుకున్నాడు,కావించుకున్నాడు,Yes
veeriddharinee,వీరిద్దరినీ,వీరిద్ధరినీ,No
punaruddharinchaaru,పునరుద్ధరించారు,పునరుద్ధరించారు,Yes
aavidhamgaa,ఆవిధంగా,ఆవిధంగా,Yes
phollow,ఫాలో,ఫోల్లో,No
greene,గ్రీన్,గ్రీన్,Yes
aandhraloo,ఆంధ్రలో,ఆంధ్రలో,Yes
enteravutunnaaro,ఎంటరవుతున్నారో,ఎంటెరవుతున్నారో,No
collins,కాలిన్స్,కొలిన్స్,No
roy,రాయి,రోయ్,No
nyaayavyavastha,న్యాయవ్యవస్థ,న్యాయవ్యవస్థ,Yes
bhagnam,భగ్నం,భాగ్నామ,No
kozhikode,కోఝిగోడె,కోహికోడే,No
moesae,మోసే,మోసే,Yes
paerennika,పేరెన్నిక,పేరెన్నిక,Yes
mamda,మంద,మంద,Yes
saripadani,సరిపడని,సరిపడని,Yes
goutamudu,గౌతముడు,గౌతముడు,Yes
kulila,కూలీల,కులిల,No
cheyavaddu,చేయవద్దు,చేయవద్దు,Yes
visugu,విసుగు,విసుగు,Yes
palatine,పాలటినే,పాలతైనే,No
lifestyle,లైఫ్స్టైల్,లైఫెస్టీల్,No
bhilai,భిలై,భిలై,Yes
desamunaku,దేశమునకు,దేశమునకు,Yes
sarasari,సరాసరి,సరసరి,No
snow,స్నో,స్నోవ్,No
vaddagala,వద్దగల,వద్దగల,Yes
taamaraakulo,తామరాకులూ,తామారకులో,No
lejarlatogaanee,లేజర్లతోగానీ,లేజర్లతోగానీ,Yes
jaaj,జాజ్,జాజ్,Yes
siddhaamtamu,సిద్ధాంతము,సిద్ధాంతము,Yes
aenugulu,ఏనుగులు,ఏనుగులు,Yes
bottutho,బొట్టుతో,బొట్టుతో,Yes
sekrinchaaru,సేకరించారు,సెక్రించారు,No
vishwasaneeyangaa,విశ్వసనీయంగా,విశ్వసనీయంగా,Yes
varshamto,వర్షంతో,వర్షంతో,Yes
manthrika,మాంత్రిక,మంత్రిక,No
rudhrulaku,రుద్రులకు,రుధ్రులకు,No
amruthamee,అమృతమే,అమృతమే,Yes
maanipestolo,మానిపెస్టోలో,మానిపేస్తోలో,No
shelton,షెల్టన్,షెల్టన్,Yes
varghese,వర్ఘెసే,వర్గేసే,No
nelakondani,నెలకొందని,నెలకొండని,No
lohith,లోహిత్,లోహిత్,Yes
hinton,హింటన్,హింటోన్,No
ludivik,లుడివిక్,లుదివిక్,No
chillara,చిల్లర,చిల్లరా,No
gilmore,జిల్మోర్,గిల్మోర్,No
tangirala,తంగిరాల,తంగిరాల,Yes
raayitoo,రాయితో,రాయితో,Yes
jadhav,జాదవ్,జాధవ్,No
high,హై,హైక్,No
saarimchaadu,సారించాడు,సారించాడు,Yes
sruthi,శ్రుతి,శ్రూతి,No
chelsea,చెల్సియా,చెల్సే,No
balaannivvadamto,బలాన్నివ్వడంతో,బలాన్నివ్వడంతో,Yes
bhusawal,భుసావల్,భూసవా్్,No
pramaanhaanni,ప్రమాణాన్ని,ప్రమాణాన్ని,Yes
dispur,డిస్పుర్,డిస్పర్,No
paramaatmaa,పరమాత్మా,పరమాత్మా,Yes
tarm,టర్మ్,టార్మ్,No
guha,గుహ,గుహ,Yes
rabbar,రబ్బర్,రబ్బార్,No
north,నార్త్,నార్త్,Yes
bismarck,బిస్మర్క్,బిస్మార్క్,No
montgomery,మాంట్గామరీ,మాంట్గోరీ,No
convention,కన్వెన్షన్,కన్వెనషన్,No
yetara,యేతర,యటెరా,No
pondaevaaru,పొందేవారు,పొందేవారు,Yes
darshinchukuntunnaarani,దర్శించుకుంటున్నార,దర్శించుకుంటున్నారని,No
taggipotondannaaru,తగ్గిపోతోందన్నారు,తగ్గిపోతోందన్నారు,Yes
ray,రాయ్,రాయ్,Yes
atri,అట్రి,ఏట్రి,No
kamalaa,కమలా,కమలా,Yes
vidyaanubandha,విద్యానుబంధ,విద్యానుబంధ,Yes
bhagalay,భాగాలే,భాగాలయ,No
kalalanni,కలలన్నీ,కళాలన్ని,No
maatlaadenduku,మాట్లాడేందుకు,మాట్లాడెందుకు,No
devalayamunu,దేవాలయమును,దేవలయమును,No
vikendrikarana,వికేంద్రీకరణ,వికేంద్రీకరణ,Yes
holt,హోల్ట్,హోల్ట్,Yes
muulangaane,మూలంగానే,మూలంగానే,Yes
praapthiki,ప్రాప్తికి,ప్రాప్థికి,No
daadulapai,దాడులపై,దాడులపై,Yes
mehrotra,మెహ్రోత్రా,మెహ్రోత్రా,Yes
saamraajyamu,సామ్రాజ్యము,సామ్రాజ్యము,Yes
barauni,బరౌని,బారాని,No
adugulona,అడుగులోన,అడుగులోన,Yes
sheenu,శీను,షీను,No
ataher,అటహర్,అథథర్,No
kuripinchindi,కురిపించింది,కురిపించింది,Yes
dhaariki,దారికి,ధారికి,No
lokamu,లోకము,లోకము,Yes
vyaktulatonu,వ్యక్తులతోను,వ్యక్తులతోను,Yes
surfactants,సర్ఫ్యాక్టెంట్స్,సర్ఫ్యాక్టెంట్స్,Yes
gorrey,గొర్రె,గోర్రే,No
saalaakhaddoos,సాలాఖద్దూస్,శాలాఖదద్తో,No
randall,రందల్,రండల్ల్,No
tisukochhinattayindi,తీసుకొచ్చినట్టయింద,తిసుకొచ్చినట్యయింది,No
suryanarayana,సూర్యనారాయణ,సుర్యానారాయణ,No
plantation,ప్లాంటేషన్,ప్లాంటటషన్,No
pakshaniki,పక్షానికి,పక్షణాికి,No
sanniveesha,సన్నివేశ,సన్నివీష,No
puyallup,పూయల్లుప్,పూయాల్లపప్,No
khaidila,ఖైదీల,ఖైదీల,Yes
vantakaalu,వంటకాలు,వంటకాలు,Yes
taralistunna,తరలిస్తున్న,తరలిస్తున్న,Yes
saran,సరాన్,సారాన్,No
ikeji,ఇకెజి,ఇకేజీ,No
vayuvula,వాయువుల,వాయువుల,Yes
kolukoleni,కోలుకోలేని,కోలుకోలేని,Yes
baahubalini,బాహుబలిని,బాహుబలిని,Yes
baagugaa,బాగుగా,బాగుగా,Yes
vandutharu,వండుతారు,వండుతారు,Yes
hillsboro,హిల్స్బోరో,హిల్క్బ్రోరో,No
cover,కవర్,కోవర్,No
apakeerthi,అపకీర్తి,అపకీర్తి,Yes
wolf,వోల్ఫ్,వోల్ఫ్,Yes
pakshaaniki,పక్షానికి,పక్షానికి,Yes
murti,మూర్తి,ముర్తి,No
teesukuvastunnaadani,తీసుకువస్తున్నాడని,తీసుకువస్తున్నాడని,Yes
merta,మేర్త,మెర్టా,No
seamec,సీమెక్,సీమెక్,Yes
subex,సుబెక్స్,సుబెక్స్,Yes
pali,పాలీ,పాలి,No
saanghika,సాంఘిక,సాంఘిక,Yes
dikk,డిక్,డిక్క్,No
mrutadehaalu,మృతదేహాలు,మృతదేహాలు,Yes
plainfield,ప్లైన్ఫీల్డ్,ప్లెనిఫిల్డ్,No
mosley,మాస్లీ,మోస్లీ,No
kglu,కేజీలు,కెజెలు,No
kashtapaddaayi,కష్టపడ్డాయి,కష్టపడ్డాయి,Yes
toliprema,తొలిప్రేమ,తొలిప్రేమ,Yes
zoin,జాయిన్,జోయిన్,No
thattukune,తట్టుకునే,తట్టుకునే,Yes
siggupadutunnattuga,సిగ్గుపడుతున్నట్టు,సిగ్గుపడుతున్నట్టుగా,No
yasukaa,యసుకా,యసుకా,Yes
vaagu,వాగు,వాగు,Yes
fungal,ఫంగల్,ఫంగు్,No
ruber,రబ్బర్,రూబర్,No
gowtam,గౌతమ్,గౌతం,No
hrudayamlo,హృదయంలో,హృదయంలో,Yes
anvayinchevaaru,అన్వయించేవారు,అన్వయించేవారు,Yes
rutuvulo,ఋతువులో,రుతువులో,No
tootaalu,తూటాలు,తూటాలు,Yes
thomas,థామస్,థోమాస్,No
ethadu,ఈతడు,ఎతడు,No
vaemula,వేముల,వేముల,Yes
saritha,సరిత,సరిత,Yes
bodhistundi,బోధిస్తుంది,బోధిస్తుంది,Yes
moody,మూడీ,మూడీ,Yes
mountain,మౌంటెయిన్,మౌంటెయిన్,Yes
asthvyastham,అస్తవ్యస్తం,అశ్థ్వ్యస్థం,No
taragaalanu,తరంగాలను,తరగాలను,No
ballapie,బల్లపై,బళ్లపపీ,No
praathipadhikagaa,ప్రాతిపదికగా,ప్రాతిపదికగా,Yes
bite,బైట్,బిటే,No
ravuto,రావుతో,రావుతో,Yes
phederation,ఫెడరేషన్,ఫెడరరేషన్,No
kaavalisina,కావలిసిన,కావలిసిన,Yes
austrelia,ఆస్ట్రేలియా,ఆస్ట్రెలియా,No
arjunini,అర్జునిని,అర్జునిని,Yes
mathoo,మేథో,మతూ,No
buena,బ్యూన,బునానా,No
march,మార్చ్,మార్చ్,Yes
takeovar,టేకోవర్,టాకేవోర్,No
nivaasaaniki,నివాసానికి,నివాసానికి,Yes
agniloo,అగ్నిలో,అగ్నిలో,Yes
pleasant,ప్లెజెంట్,ప్లీలాంట్,No
mendez,మెండెజ్,మెండెజ్,Yes
nadachi,నడచి,నడచి,Yes
choopinchalekapovadame,చూపించలేకపోవడమే,చూపించలేకపోవడమే,Yes
nimpukoleni,నింపుకోలేని,నింపుకోలేని,Yes
vishayamlone,విషయంలోనే,విషయంలోనే,Yes
yellaku,ఏళ్లకు,యెల్లకు,No
bernard,బెర్నార్డ్,బెర్నార్డ్,Yes
suukthi,సూక్తి,సూక్తి,Yes
nimishamloo,నిమిషంలో,నిమిషంలో,Yes
pilippi,పిలిప్పి,పిలిప్పి,Yes
waykos,వేకొస్,వేకోస్,No
pruthu,పృథు,ప్రుతు,No
gokaldas,గోకల్దాస్,గోకల్డాస్,No
lohiyaa,లోహియా,లోహియా,Yes
kane,కేన్,కనే,No
mv,ఎంవీ,ఎవవవఎ,No
nayakudini,నాయకుడిని,నాయకుడిని,Yes
cheppe,చెప్పే,చెప్పే,Yes
daarilone,దారిలోనే,దారిలోనే,Yes
jimy,జిమ్మీ,జిమ్,No
dasalavarigaa,దశలవారీగా,దశలవరిగా,No
padaledu,పడలేదు,పడలేదు,Yes
malekar,మలేకర్,మలేకర్,Yes
charitraatmaka,చరిత్రాత్మక,చరిత్రాత్మక,Yes
vishvaasa,విశ్వాస,విశ్వాస,Yes
noblesville,నోబుల్స్విల్,నోబ్లెస్విల్లె,No
french,ఫ్రెంచ్,ఫ్రెంచ్,Yes
cheinchi,చేయించి,చెంచి,No
lemu,లేము,లేము,Yes
bhoolookamloo,భూలోకంలో,భూలకకంలో,No
charchinchaaru,చర్చించారు,చర్చించారు,Yes
punarnirmaanaaniki,పునర్నిర్మాణానికి,పునర్నిర్మాణానికి,Yes
undenu,ఉండెను,ఉండేను,No
egiripadutunnaayi,ఎగిరెగిరిపడుతున్నా,ఎగిరిపడుతున్నాయి,No
evochchindi,ఏవొచ్చింది,ఎవొచ్చింది,No
idelluga,ఐదేళ్లుగా,ఇదేళ్లుగా,No
puvvulathoo,పువ్వులతో,పువ్వులతో,Yes
vruthakara,వృత్తాకార,వృతకర,No
dadra,దాద్రా,దాడ్ర,No
raktamu,రక్తము,రక్తము,Yes
ventura,వెంచురా,వెంటురా,No
tanaviga,తనవిగా,తనవిగా,Yes
avutunnaa,అవుతున్నా,అవుతున్నా,Yes
madhubani,మధుబని,మధుబాని,No
saralamaina,సరళమైన,సరలమైన,No
mart,మార్ట్,మార్ట్,Yes
tappukuntunnattu,తప్పుకుంటున్నట్టు,తప్పుకుంటున్నట్టు,Yes
aadesinchadam,ఆదేశించడం,ఆదేశించడం,Yes
praveenchand,ప్రవీణ్చంద్,ప్రవీంచండ్,No
austin,ఆస్టిన్,ఆస్టిన్,Yes
siddhaantamunu,సిద్ధాంతమును,సిద్ధాంతమును,Yes
navambarulo,నవంబరులో,నవంబరులో,Yes
poostarlu,పోస్టర్లు,పూస్టర్లు,No
ghanibhavinnchina,ఘనీభవించిన,ఘనిభవించిన,No
bedirinattugaa,బెదిరినట్టుగా,బెదిరినట్టుగా,Yes
chikkullo,చిక్కుల్లో,చిక్కుల్లో,Yes
iddariloonuu,ఇద్దరిలోనూ,ఇద్దరిలోనూ,Yes
sambhaashanhalaloo,సంభాషణలలో,సంభాషణలలో,Yes
kottaata,కొట్టాట,కొట్టాత,No
pindaniki,పిండానికి,పిండానికి,Yes
manthrulatho,మంత్రులతో,మంత్రులతో,Yes
mukthyala,ముక్త్యాల,ముక్త్యల,No
paramaathmanu,పరమాత్మను,పరమాత్మను,Yes
murrieta,ముర్రియేటా,ముర్రియత,No
clicq,క్లిక్,క్లిక్క్,No
buutakapu,బూటకపు,బూటకపు,Yes
sandharbhamugaa,సందర్భముగా,సందర్భముగా,Yes
chaduvuthu,చదువుతూ,చదువుతూ,Yes
sandhinchukuntunnaaru,సంధించుకుంటున్నారు,సంధించుకుంటున్నారు,Yes
vidhyaardhinii,విద్యార్థినీ,విధ్యార్ధినీ,No
yugamdhar,యుగంధర్,యుగంధర్,Yes
bigboss,బిగ్బాస్,బిగ్బోస్,No
kaayadam,కాయడం,కాయడం,Yes
bethlehem,బెత్లెహామ్,బెత్లేహేమ్,No
okadigaa,ఒకడిగా,ఒకడిగా,Yes
nammukuntunnaaro,నమ్ముకుంటున్నారో,నమ్ముకుంటున్నారో,Yes
aachanta,ఆచంట,ఆచంట,Yes
nilabadutunnaaru,నిలబడుతున్నారు,నిలబడుతున్నారు,Yes
vibedhaalu,విబేధాలు,విబేధాలు,Yes
shaasthravetthalatho,శాస్త్రవేత్తలతో,శాస్త్రవేత్తలతో,Yes
kalaraa,కలరా,కలార,No
rojulugaa,రోజులుగా,రోజులుగా,Yes
palisetti,పలిశెట్టి,పలిసేత్తి,No
rakshanhagaa,రక్షణగా,రక్షణగా,Yes
uparitala,ఉపరితల,ఉపరితల,Yes
samarpana,సమర్పణ,సమర్పణ,Yes
vellinappu,వెళ్లినప్పు,వెళ్లినప్పు,Yes
vishvadaanhiraama,విశ్వదాభిరామ,విశ్వదానిరార,No
chittashuddhiledaa,చిత్తశుద్ధిలేదా,చిత్తశుద్ధిలేదా,Yes
buena,బ్యూనా,బునానా,No
manasuni,మనసుని,మనసుని,Yes
rekettistaayi,రేకెత్తిస్తాయి,రేకెత్తిస్తాయి,Yes
barasat,బరసత్,బారాత్,No
sultaanulu,సుల్తానులు,సుల్తానులు,Yes
puudika,పూడిక,పూడిక,Yes
delta,డెల్టా,డెల్తా,No
wek,వేక్,వెక్,No
ruussian,రష్యన్,రూస్షియన్,No
virani,విరాణి,విరని,No
staanlii,స్టాన్లీ,స్టాన్లీ,Yes
majeed,మజీద్,మజీద్,Yes
punarnirmaana,పునర్నిర్మాణ,పునర్నిర్మాణ,Yes
yogulu,యోగులు,యోగులు,Yes
danville,డాన్విల్,డన్విల్లే,No
nirnayinchukunna,నిర్ణయించుకున్న,నిర్ణయించుకున్న,Yes
daarr,దార్,డార్ర్,No
kadalakundaa,కదలకుండా,కదలకుండా,Yes
vishnuvu,విష్ణువు,విష్ణువు,Yes
chaubey,చౌబే,చౌబె,No
textiles,టెక్స్టైల్స్,టెక్సిటైల్స్,No
rajyamunu,రాజ్యమును,రాజ్యమును,Yes
carpentersville,కార్పెంటర్స్విల్లే,కార్పెంట్రెవ్ల్ల్సీ,No
stop,స్టాప్,స్టాప్,Yes
vahinchaaru,వహించారు,వహించారు,Yes
maddox,మడ్డాక్స్,మడ్డాక్స్,Yes
bodhistunnaayani,బోధిస్తున్నాయని,బోధిస్తున్నాయని,Yes
nagupame,నాగుపామే,నాగుపామే,Yes
rakshinchadaniki,రక్షించడానికి,రక్షించడానికి,Yes
troy,ట్రాయ్,ట్రోయ్,No
timken,టిమ్కెన్,టింకెె్్,No
sarath,శరత్,శరరతత్,No
duki,దూకి,డ్యూకి,No
gabbhilam,గబ్బిలం,గబ్భిలాం,No
itarsi,ఇటార్సి,ఇటర్సి,No
kaladii,కలదీ,కలాడీ,No
wendt,వెంట్,వెండ్ట్,No
vidyaardhini,విద్యార్ధిని,విద్యార్ధిని,Yes
rahasyamgaa,రహస్యంగా,రహస్యంగా,Yes
teesukovaalanukuntundi,తీసుకోవాలనుకుంటుంద,తీసుకోవాలనుకుంటుంది,No
ninditula,నిందితుల,నిందితుల,Yes
vinipinchukuntunnaaru,వినిపించుకుంటున్నా,వినిపించుకుంటున్నారు,No
kalagachestunnaaru,కలగచేస్తున్నారు,కలగచేస్తున్నారు,Yes
puraathanamaina,పురాతనమైన,పురాతనమైన,Yes
dwaarakaa,ద్వారకా,ద్వారకా,Yes
raajamandri,రాజమండ్రి,రాజమంద్రి,No
yerpadataaniki,ఏర్పడటానికి,ఏర్పడటానికి,Yes
niroopinchagalamaa,నిరూపించగలమా,నిరూపించగలమా,Yes
erickson,ఎరిక్సన్,ఎరిక్సన్,Yes
yeppatinuncho,ఎప్పటినుంచో,యెప్పటినుంచో,No
khanna,ఖన్నా,ఖన్నా,Yes
jyothy,జ్యోతి,జ్యోతి,Yes
parihar,పరిహర్,పరిహార్,No
jajj,జాజ్,జజ్జ్,No
choosukovaalippudu,చూసుకోవాలిప్పుడు,చూసుకోవాల్పిపుడు,No
bapuji,బాపూజీ,బాపుజీ,No
roling,రోలింగ్,రోలింగ్,Yes
etara,ఇతర,ఎటర,No
tagipotunnadi,తగిపోతున్నది,తగిపోతున్నది,Yes
viswasaniiyata,విశ్వసనీయత,విశ్వసనియత,No
idukki,ఇడుక్కి,ఇదుక్కి,No
kondalaraayudike,కొండలరాయుడికే,కొండలాారయుడికే,No
jaruputhoo,జరుపుతూ,జరుపుతో,No
sdhalaanni,స్థలాన్ని,స్ధలాన్ని,No
bhratha,భరత,భ్రత,No
yajamanyalu,యాజమాన్యాలు,యాజమన్యలు,No
seeemgaa,సీఎంగా,సీమాగా,No
miranda,మిరాండా,మిరందా,No
angikarinchay,అంగీకరించే,అంగికరించాయ్,No
vithanam,విత్తనం,విధనం,No
prudhu,పృథు,ప్రుడు,No
aarthikastomatalenivaaru,ఆర్థికస్తోమతలేనివా,ఆర్థికస్తోలనేత్వవాార,No
asthralu,అస్త్రాలు,అస్త్రలు,No
duchukovaalsina,డుచుకోవాల్సిన,దుచుకోవాల్సిన,No
pradhananga,ప్రధానంగా,ప్రధానంగ,No
greenfield,గ్రీన్ఫీల్డ్,గ్రీన్ఫిల్డ్,No
valasi,వలసి,వలాసి,No
estes,ఎస్టెస్,ఎస్టెస్,Yes
amaayaka,అమాయక,అమాయక,Yes
charchinchadaaniki,చర్చించడానికి,చర్చించడానికి,Yes
customs,కస్టమ్స్,కససటమ్్,No
mangla,మంగ్లా,మంగ్లా,Yes
kover,కవర్,కోవర్,No
aandhrasarasvati,ఆంధ్రసరస్వతి,ఆంధ్రససర్వతి,No
benitez,బెనిటెజ్,బెనిట్జ్,No
gagan,గగన్,గగనన్,No
junction,జంక్షన్,జన్క్షన్,No
unnaarantae,ఉన్నారంటే,ఉన్నారంటే,Yes
marchalani,మార్చాలని,మార్చలని,No
evadiete,ఎవడైతే,ఎవడియేట్,No
darsi,దర్శి,దర్శి,Yes
pradarshinchetatuvanti,ప్రదర్శించేటటువంటి,ప్రదర్శించేటవువంటి,No
waatchmen,వాచ్మెన్,వాట్చ్మెన్,No
careerlone,కెరీర్లోనే,కరరీ్లోనే,No
raajamandrini,రాజమండ్రిని,రాజమంద్రిని,No
azeez,అజీజ్,అజీజ్,Yes
eagan,ఎగన్,ఈగన్,No
gurtunnanu,గుర్తున్నాను,గుర్తున్నాను,Yes
prajalloki,ప్రజల్లోకి,ప్రజల్లోకి,Yes
vyaakhyalato,వ్యాఖ్యలతో,వ్యాఖ్యలతో,Yes
teeyamani,తీయమని,తీయమని,Yes
dveepanni,ద్వీపాన్ని,ద్వీపన్ని,No
dvepanni,ద్వీపాన్ని,ద్వేపన్ని,No
mandulanu,మందులను,మందులను,Yes
pampinchandi,పంపించండి,పంపించండి,Yes
malayalee,మలయాళ,మళయాలే,No
vibhudhi,విభూది,విభుధి,No
praveshinchenduku,ప్రవేశించేందుకు,ప్రవేశించేందుకు,Yes
gelipisthey,గెలిపిస్తే,గెలిపిస్తేయ్,No
raalekapoyinatlu,రాలేకపోయినట్లు,రాలేకపోయినట్లు,Yes
viraalaalu,విరాళాలు,విరాళాలు,Yes
raman,రామన్,రమమ్్,No
dearborn,డియర్బార్న్,డియర్బర్న్,No
icchaapuram,ఇచ్ఛాపురం,ఇచ్చాపురం,No
panjaab,పంజాబ్,పంజాబ్,Yes
pereddy,పెరెడ్డి,పెరేడ్డి,No
varma,వర్మ,వర్మ,Yes
rajkot,రాజ్కోట్,రాజ్కోట్,Yes
gangtok,గ్యాంగ్టోక్,గాంగ్టోక్,No
raayitho,రాయితో,రాయితో,Yes
siel,సీల్,సీల్ఎల్,No
redmond,రెడ్మొండ్,రెడ్మొండ్,Yes
shores,షోరేస్,షోర్స్,No
maggutunna,మగ్గుతున్న,మగ్గుతున్నా,No
naatadam,నాటడం,నాటడం,Yes
dundagulu,దుండగులు,దుండగులు,Yes
chendhadamtoo,చెందడంతో,చెందడంతో,Yes
paryavekshinchaaru,పర్యవేక్షించారు,పర్యవేక్షించారు,Yes
varanasi,వారణాసి,వారనసి,No
pooshinchinadi,పోషించినది,పోషించినది,Yes
theejasvini,తేజస్విని,తీజస్విని,No
yaantrikamiena,యాంత్రికమైన,యాంత్రికమీన,No
anuvadistunnadi,అనువదిస్తున్నది,అనువదిస్తున్నది,Yes
kutra,కుట్ర,కుట్ర,Yes
avabhruda,అవభృద,అవభ్రుడా,No
istunnaamani,ఇస్తున్నామని,ఇస్తున్నామని,Yes
dheshaabhivruddhiki,దేశాభివృద్ధికి,దీశాభివృద్ధికి,No
bhujampai,భుజంపై,భుజంపై,Yes
nowgong,నౌగొంగ్,నౌగోంగ్,No
kareres,కరేరేస్,కారెరెస్,No
cerebra,సెరెబ్రా,సెర్బ్రా,No
dhivyamaina,దివ్యమైన,ధివ్యమైన,No
mandalamu,మండలము,మండలము,Yes
draupathi,ద్రౌపతి,ద్రపరతి,No
pottakooti,పొట్టకూటి,పొట్టకూటి,Yes
brownsville,బ్రౌన్స్విల్లే,బ్రౌవ్విస్ల్లే,No
kamaneeyamga,కమనీయంగా,కమనీయంగా,Yes
santa,శాంటా,సంత,No
dhaanyam,ధాన్యం,ధాన్యం,Yes
ink,ఇంక్,ఇంక్,Yes
lynchburg,లించ్బర్గ్,లిం్క్రర్గ్,No
thaalib,తాలిబ్,థాలిబ్,No
fleming,ఫ్లెమింగ్,ఫ్లెమింగ్,Yes
bindal,బిండల్,బిండాల్,No
shmashaanavaatika,శ్మశానవాటిక,శ్షమాానవాిక,No
rasheed,రషీద్,రశీద్,No
thaagimdi,తాగింది,తాగింది,Yes
seattle,సియటెల్,సీట్ట్లే,No
khaidi,ఖైదీ,ఖైది,No
panchatantra,పంచతంత్ర,పంచటంత్ర,No
kirthini,కీర్తిని,కిర్తిని,No
vidvaansudu,విద్వాంసుడు,విద్వాన్సుడు,No
chendadamtho,చెందడంతో,చెందడంతో,Yes
centennial,సెంటేనియల్,సెంటెన్నియల్,No
agarawal,అగర్వాల్,అగరావాల్,No
whittier,వైట్టియర్,విట్టీయర్,No
priya,ప్రియ,ప్రియ,Yes
alayalu,ఆలయాలు,అలయాలు,No
priyadarshini,ప్రియదర్శిని,ప్రియదర్షిని,No
zanet,జానెట్,జనెట్,No
indianapolis,ఇండియానాపోలిస్,ఇండియానాపోసిస్,No
anivaaryamgaa,అనివార్యంగా,అనివార్యంగా,Yes
agency,ఏజన్సీ,ఏజెన్సీ,No
prakatanalanu,ప్రకటనలను,ప్రకటనలను,Yes
mahapanditudu,మహాపండితుడు,మహాపండితుడు,Yes
laeraa,లేరా,లేరా,Yes
hajipur,హజిపుర్,హాజీపూర్,No
daantopaatu,దాంతోపాటు,దాంతోపాటు,Yes
ganistharu,గణిస్తారు,గణిస్థారు,No
merlinch,మెర్లించ్,మెర్లించ్,Yes
naadir,నాదిర్,నాదిర్,Yes
bodhimchindi,బోధించింది,బోధించింది,Yes
aalayyalu,ఆలయాలు,ఆలయ్యలు,No
juarez,జ్వారెజ్,జురెజ్,No
khatri,ఖత్రి,ఖత్రి,Yes
pittsburgh,పిట్స్బర్గ్,పిట్స్ట్బర్గ్,No
mogistunnaamani,మోగిస్తున్నామని,మోగిస్తున్నామని,Yes
le,లే,లిన్,No
kotturu,కొత్తూరు,కొత్తురు,No
jeyuduyurugaata,జేయుదురుగాత,జేయుదుయురుగాత,No
karbonetlu,కార్బోనేటులు,కార్బొనేట్లు,No
coachella,కోచెల్లా,కాకాచెల్లా,No
mooseeki,మూసీకి,మూసీకి,Yes
opikagaa,ఓపికగా,ఒపికగా,No
jauhari,జౌహరి,జౌహారీ,No
kettering,కెట్టెరింగ్,కెట్టరింగ్,No
mandhugaa,మందుగా,మంధుగా,No
togooru,తోగూరు,టోగూరు,No
moreno,మోరెనో,మోరెనో,Yes
jaat,జాట్,జాత్,No
keizer,కైజర్,కీజర్,No
mayur,మయూర్,మయూర్,Yes
spandinchaadu,స్పందించాడు,స్పందించాడు,Yes
maroka,మరోక,మరొక,No
mundhumaatalo,ముందుమాటలో,ముంధుమాతలో,No
kuuragayalanu,కూరగాయలను,కూరగాయలను,Yes
yuvatanu,యువతను,యువతను,Yes
praarambhinchandi,ప్రారంభించండి,ప్రారంభించండి,Yes
saralamga,సరళంగా,సరళంగా,Yes
nootilo,నూతిలో,నూటిలో,No
mahajan,మహాజన్,మహాజన్,Yes
baajee,బాజీ,బాజీ,Yes
puttabotunnadanatu,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడటటు,No
renewables,రెన్వేబుల్స్,రెన్వుబలల్స్,No
yuvatha,యువత,యువత,Yes
vijayaalatho,విజయాలతో,విజయాలతో,Yes
starayid,స్టెరాయిడ్,స్టారయయడడ్,No
bedford,బెడ్ఫోర్డ్,బెడ్ఫోర్డ్,Yes
nirvahinchalekapotondi,నిర్వహించలేకపోతోంద,నిర్వహించలేకపోతోంది,No
bedhirinattugaa,బెదిరినట్టుగా,బేధిరినట్టుగా,No
park,పార్క్,పార్క్,Yes
cheppavacchu,చెప్పవచ్చు,చెప్పవచ్చు,Yes
taagadaaniki,తాగడానికి,తాగడానికి,Yes
rajyaniki,రాజ్యానికి,రాజ్యానికి,Yes
varnamaala,వర్ణమాల,వర్ణమాల,Yes
kavarla,కవర్ల,కవర్ల,Yes
vyaktule,వ్యక్తులే,వ్యక్తులే,Yes
patishthamaina,పటిష్ఠమైన,పటిష్ఠమైన,Yes
controls,కంట్రోల్స్,కాంట్రోల్స్,No
roganni,రోగాన్ని,రోగన్ని,No
vaayuvula,వాయువుల,వాయువుల,Yes
bomma,బొమ్మ,బొమ్మా,No
vaartathoo,వార్తతో,వార్తతో,Yes
bhadauriya,భదౌరియా,భదారీయ,No
hodges,హోడ్జ్స్,హోడ్జెస్,No
lepinchaadu,లేపించాడు,లేపించాడు,Yes
bhagaswamulaku,భాగస్వాములకు,భాగస్వాములకు,Yes
cheppalekapoyaaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
