True Input,True Output,My Decoded Output,Matching or Not
dhigindhi,దిగింది,ధిగింది,No
tisukochhesthunnadu,తీసుకొచ్చేస్తున్నా,తిసుకొచ్చేస్తున్నాడు,No
nikorika,నీకోరిక,నికోరిక,No
antava,అంటావా,అంటావా,Yes
mokkubadigaane,మొక్కుబడిగానే,మొక్కుబడిగానే,Yes
chendhinadhe,చెందినదే,చెం్దినాధే,No
laatoomod,లాటూమోడ్,లాటూమోద్,No
bharatpur,భరత్పూర్,భరత్తూర్,No
patrikaloo,పత్రికలూ,పత్రికలో,No
kaavinchukunnaadu,కావించుకున్నాడు,కావించుకున్నాడు,Yes
veeriddharinee,వీరిద్దరినీ,వీరిద్ధరినీ,No
punaruddharinchaaru,పునరుద్ధరించారు,పునరుద్ధరించారు,Yes
aavidhamgaa,ఆవిధంగా,ఆవిధంగా,Yes
phollow,ఫాలో,ఫోల్లూ,No
greene,గ్రీన్,గ్రీనె,No
aandhraloo,ఆంధ్రలో,ఆంద్రలూ,No
enteravutunnaaro,ఎంటరవుతున్నారో,ఏంటరేవుతున్నారో,No
collins,కాలిన్స్,కోలనిన్స్,No
roy,రాయి,రోయ్,No
nyaayavyavastha,న్యాయవ్యవస్థ,న్యాయవ్యవస్థ,Yes
bhagnam,భగ్నం,భగ్నం,Yes
kozhikode,కోఝిగోడె,కోహికోడే,No
moesae,మోసే,మోసే,Yes
paerennika,పేరెన్నిక,పేరెన్నిక,Yes
mamda,మంద,మాండా,No
saripadani,సరిపడని,సరిపడని,Yes
goutamudu,గౌతముడు,గౌటముడు,No
kulila,కూలీల,కులిల,No
cheyavaddu,చేయవద్దు,చేయవద్దు,Yes
visugu,విసుగు,విసుగు,Yes
palatine,పాలటినే,పలలటినే,No
lifestyle,లైఫ్స్టైల్,లైఫెస్టైల్,No
bhilai,భిలై,భిలా,No
desamunaku,దేశమునకు,దేశమునకు,Yes
sarasari,సరాసరి,సరసారి,No
snow,స్నో,స్నో,Yes
vaddagala,వద్దగల,వడ్డగల,No
taamaraakulo,తామరాకులూ,తామరాకులో,No
lejarlatogaanee,లేజర్లతోగానీ,లేజర్లతోగానీ,Yes
jaaj,జాజ్,జాజ్,Yes
siddhaamtamu,సిద్ధాంతము,సిద్ధాతము,No
aenugulu,ఏనుగులు,ఏనుగులు,Yes
bottutho,బొట్టుతో,బొత్టుతో,No
sekrinchaaru,సేకరించారు,సెక్రించారు,No
vishwasaneeyangaa,విశ్వసనీయంగా,విశ్వసనీయంగా,Yes
varshamto,వర్షంతో,వర్షంతో,Yes
manthrika,మాంత్రిక,మంత్రిక,No
rudhrulaku,రుద్రులకు,రుధ్రులకు,No
amruthamee,అమృతమే,అమృతమే,Yes
maanipestolo,మానిపెస్టోలో,మానిపేస్తోలో,No
shelton,షెల్టన్,షెల్టన్,Yes
varghese,వర్ఘెసే,వార్గీసే,No
nelakondani,నెలకొందని,నెలకొండని,No
lohith,లోహిత్,లోహిత్,Yes
hinton,హింటన్,హింటన్,Yes
ludivik,లుడివిక్,లువివిక్,No
chillara,చిల్లర,చిల్లర,Yes
gilmore,జిల్మోర్,గిల్లోరే,No
tangirala,తంగిరాల,తంగిరాల,Yes
raayitoo,రాయితో,రాయితో,Yes
jadhav,జాదవ్,జాధవ్,No
high,హై,హైగ్,No
saarimchaadu,సారించాడు,సారించాడు,Yes
sruthi,శ్రుతి,సృతీ,No
chelsea,చెల్సియా,చెల్సీ,No
balaannivvadamto,బలాన్నివ్వడంతో,బలాన్నివ్వడంతో,Yes
bhusawal,భుసావల్,భూసావల్,No
pramaanhaanni,ప్రమాణాన్ని,ప్రమాహాన్ని,No
dispur,డిస్పుర్,దిస్పూర్,No
paramaatmaa,పరమాత్మా,పరమాత్మ,No
tarm,టర్మ్,తార్మ్,No
guha,గుహ,గుహా,No
rabbar,రబ్బర్,రబ్బార్,No
north,నార్త్,నోర్త్,No
bismarck,బిస్మర్క్,బిస్మార్క్,No
montgomery,మాంట్గామరీ,మొంట్గోనరీ,No
convention,కన్వెన్షన్,కాన్వెంటన్,No
yetara,యేతర,యతరా,No
pondaevaaru,పొందేవారు,పొందేవారు,Yes
darshinchukuntunnaarani,దర్శించుకుంటున్నార,దర్షించుకుంటున్నారని,No
taggipotondannaaru,తగ్గిపోతోందన్నారు,తగ్గిపోతోందన్నారు,Yes
ray,రాయ్,రే,No
atri,అట్రి,ఏట్రి,No
kamalaa,కమలా,కమలా,Yes
vidyaanubandha,విద్యానుబంధ,విద్యానుబంధ,Yes
bhagalay,భాగాలే,భాగాలయ్,No
kalalanni,కలలన్నీ,కళలన్ని,No
maatlaadenduku,మాట్లాడేందుకు,మాట్లాడేందుకు,Yes
devalayamunu,దేవాలయమును,దేవాలయమును,Yes
vikendrikarana,వికేంద్రీకరణ,వికేంద్రీకరణ,Yes
holt,హోల్ట్,హోల్ట్,Yes
muulangaane,మూలంగానే,మూలంగానే,Yes
praapthiki,ప్రాప్తికి,ప్రాప్తికి,Yes
daadulapai,దాడులపై,దాదులపై,No
mehrotra,మెహ్రోత్రా,మేహ్రోత్రా,No
saamraajyamu,సామ్రాజ్యము,సామ్రాజ్యము,Yes
barauni,బరౌని,బరునని,No
adugulona,అడుగులోన,అడుగులోనా,No
sheenu,శీను,షీను,No
ataher,అటహర్,అతహర్,No
kuripinchindi,కురిపించింది,కురిపించింది,Yes
dhaariki,దారికి,ధారికి,No
lokamu,లోకము,లోకము,Yes
vyaktulatonu,వ్యక్తులతోను,వ్యక్తులతోను,Yes
surfactants,సర్ఫ్యాక్టెంట్స్,సర్ఫ్యాక్టాంట్స్,No
gorrey,గొర్రె,గోర్రీ,No
saalaakhaddoos,సాలాఖద్దూస్,సాలాఖడ్డోస్,No
randall,రందల్,రండల్,No
tisukochhinattayindi,తీసుకొచ్చినట్టయింద,తిసుకొచ్చినట్టయింది,No
suryanarayana,సూర్యనారాయణ,సుర్యనారాయణ,No
plantation,ప్లాంటేషన్,ప్లాంటేషన్,Yes
pakshaniki,పక్షానికి,పక్షణికి,No
sanniveesha,సన్నివేశ,సన్నివీష,No
puyallup,పూయల్లుప్,పుయాళ్ళ్,No
khaidila,ఖైదీల,ఖైదీల,Yes
vantakaalu,వంటకాలు,వంతకాలు,No
taralistunna,తరలిస్తున్న,తరలిస్తున్నా,No
saran,సరాన్,సరాన్,Yes
ikeji,ఇకెజి,ఇకేజి,No
vayuvula,వాయువుల,వాయువుల,Yes
kolukoleni,కోలుకోలేని,కోలుకోలేని,Yes
baahubalini,బాహుబలిని,బాహుబాలిని,No
baagugaa,బాగుగా,బాగుగా,Yes
vandutharu,వండుతారు,వండుతారు,Yes
hillsboro,హిల్స్బోరో,హిల్స్బోరో,Yes
cover,కవర్,కోవర్,No
apakeerthi,అపకీర్తి,అపకీర్తి,Yes
wolf,వోల్ఫ్,వోల్ఫ్,Yes
pakshaaniki,పక్షానికి,పక్షానికి,Yes
murti,మూర్తి,ముర్తి,No
teesukuvastunnaadani,తీసుకువస్తున్నాడని,తీసుకువస్తున్నాడని,Yes
merta,మేర్త,మెర్టా,No
seamec,సీమెక్,సైమెక్,No
subex,సుబెక్స్,సబెక్స్,No
pali,పాలీ,పలిప,No
saanghika,సాంఘిక,సాంఘిక,Yes
dikk,డిక్,డిక్క్,No
mrutadehaalu,మృతదేహాలు,మృతదేహాలు,Yes
plainfield,ప్లైన్ఫీల్డ్,ప్లాన్ఫిల్డ్,No
mosley,మాస్లీ,మోస్లీ,No
kglu,కేజీలు,క్లీఎల్,No
kashtapaddaayi,కష్టపడ్డాయి,కష్టపడ్డాయి,Yes
toliprema,తొలిప్రేమ,తోలిప్రేమ,No
zoin,జాయిన్,జోనిన్,No
thattukune,తట్టుకునే,తట్టుకునే,Yes
siggupadutunnattuga,సిగ్గుపడుతున్నట్టు,సిగ్గుపడుతున్నట్టుగా,No
yasukaa,యసుకా,యసుకా,Yes
vaagu,వాగు,వాగు,Yes
fungal,ఫంగల్,ఫుంగాల్,No
ruber,రబ్బర్,రూబర్,No
gowtam,గౌతమ్,గౌతం,No
hrudayamlo,హృదయంలో,హృదయంలో,Yes
anvayinchevaaru,అన్వయించేవారు,అన్వయించేవారు,Yes
rutuvulo,ఋతువులో,రుతువులో,No
tootaalu,తూటాలు,తూటాలు,Yes
thomas,థామస్,థోమాస్,No
ethadu,ఈతడు,ఎతడు,No
vaemula,వేముల,వేముల,Yes
saritha,సరిత,సారిత,No
bodhistundi,బోధిస్తుంది,బోధిస్తుంది,Yes
moody,మూడీ,మూడీ,Yes
mountain,మౌంటెయిన్,మౌంటెన్,No
asthvyastham,అస్తవ్యస్తం,అస్త్వయస్థం,No
taragaalanu,తరంగాలను,తరగాలను,No
ballapie,బల్లపై,బళ్ళాపీ,No
praathipadhikagaa,ప్రాతిపదికగా,ప్రాతిపథికగా,No
bite,బైట్,బిట్,No
ravuto,రావుతో,రావుతో,Yes
phederation,ఫెడరేషన్,ఫిడెరేషన్,No
kaavalisina,కావలిసిన,కావలిసిన,Yes
austrelia,ఆస్ట్రేలియా,ఆస్ట్రేలియా,Yes
arjunini,అర్జునిని,అర్జునిని,Yes
mathoo,మేథో,మాతూ,No
buena,బ్యూన,బూయానా,No
march,మార్చ్,మార్చ్,Yes
takeovar,టేకోవర్,తాకీవర్,No
nivaasaaniki,నివాసానికి,నివాసానికి,Yes
agniloo,అగ్నిలో,అగ్నిలో,Yes
pleasant,ప్లెజెంట్,ప్లీసాంట్,No
mendez,మెండెజ్,మెండెజ్,Yes
nadachi,నడచి,నడచి,Yes
choopinchalekapovadame,చూపించలేకపోవడమే,చూపించలేకపోవడమే,Yes
nimpukoleni,నింపుకోలేని,నింపుకోలేని,Yes
vishayamlone,విషయంలోనే,విషయంలోనే,Yes
yellaku,ఏళ్లకు,యెల్లకు,No
bernard,బెర్నార్డ్,బెర్నార్డ్,Yes
suukthi,సూక్తి,సూక్తి,Yes
nimishamloo,నిమిషంలో,నిమిషంలో,Yes
pilippi,పిలిప్పి,పిలిప్పి,Yes
waykos,వేకొస్,వీకోస్,No
pruthu,పృథు,పృతు,No
gokaldas,గోకల్దాస్,గోకల్దాస్,Yes
lohiyaa,లోహియా,లోహియా,Yes
kane,కేన్,కన్,No
mv,ఎంవీ,మివిఎం,No
nayakudini,నాయకుడిని,నాయకుడిని,Yes
cheppe,చెప్పే,చెప్పే,Yes
daarilone,దారిలోనే,దారిలోనే,Yes
jimy,జిమ్మీ,జిమై,No
dasalavarigaa,దశలవారీగా,దశాలవరిగా,No
padaledu,పడలేదు,పడలేదు,Yes
malekar,మలేకర్,మలేకర్,Yes
charitraatmaka,చరిత్రాత్మక,చరిత్రాత్మక,Yes
vishvaasa,విశ్వాస,విశ్వాస,Yes
noblesville,నోబుల్స్విల్,నోల్బెస్విల్లే,No
french,ఫ్రెంచ్,ఫ్రెంచ్,Yes
cheinchi,చేయించి,చెయించి,No
lemu,లేము,లేము,Yes
bhoolookamloo,భూలోకంలో,భూలోకంలో,Yes
charchinchaaru,చర్చించారు,చర్చించారు,Yes
punarnirmaanaaniki,పునర్నిర్మాణానికి,పునర్నిర్మాణానికి,Yes
undenu,ఉండెను,ఉండేను,No
egiripadutunnaayi,ఎగిరెగిరిపడుతున్నా,ఎగిరిపడుతున్నాయి,No
evochchindi,ఏవొచ్చింది,ఏవొచ్చింది,Yes
idelluga,ఐదేళ్లుగా,ఐదేళ్లుగా,Yes
puvvulathoo,పువ్వులతో,పువ్వులతో,Yes
vruthakara,వృత్తాకార,వృతాకర,No
dadra,దాద్రా,దాద్ర,No
raktamu,రక్తము,రక్తము,Yes
ventura,వెంచురా,వెంటుర,No
tanaviga,తనవిగా,తనవిగా,Yes
avutunnaa,అవుతున్నా,అవుతున్నా,Yes
madhubani,మధుబని,మధుబని,Yes
saralamaina,సరళమైన,సరళమైన,Yes
mart,మార్ట్,మార్ట్,Yes
tappukuntunnattu,తప్పుకుంటున్నట్టు,తప్పుకుంటున్నట్టు,Yes
aadesinchadam,ఆదేశించడం,ఆదేశించడం,Yes
praveenchand,ప్రవీణ్చంద్,ప్రవీంచండ్,No
austin,ఆస్టిన్,ఆస్టిన్,Yes
siddhaantamunu,సిద్ధాంతమును,సిద్ధాంతమును,Yes
navambarulo,నవంబరులో,నవంబరులో,Yes
poostarlu,పోస్టర్లు,పూస్టర్లు,No
ghanibhavinnchina,ఘనీభవించిన,ఘనిభవించిన,No
bedirinattugaa,బెదిరినట్టుగా,బెదిరినట్టుగా,Yes
chikkullo,చిక్కుల్లో,చిక్కుల్లో,Yes
iddariloonuu,ఇద్దరిలోనూ,ఇద్దరిలోనూ,Yes
sambhaashanhalaloo,సంభాషణలలో,సంభాషణలలో,Yes
kottaata,కొట్టాట,కొత్తాట,No
pindaniki,పిండానికి,పిండనికి,No
manthrulatho,మంత్రులతో,మంత్రులతో,Yes
mukthyala,ముక్త్యాల,ముక్త్యాలా,No
paramaathmanu,పరమాత్మను,పరమాత్మను,Yes
murrieta,ముర్రియేటా,ముర్రియేత,No
clicq,క్లిక్,క్లిక్,Yes
buutakapu,బూటకపు,బూటకపు,Yes
sandharbhamugaa,సందర్భముగా,సందర్భముగా,Yes
chaduvuthu,చదువుతూ,చదువుతూ,Yes
sandhinchukuntunnaaru,సంధించుకుంటున్నారు,సంధించుకుంటున్నారు,Yes
vidhyaardhinii,విద్యార్థినీ,విధ్యార్ధినీ,No
yugamdhar,యుగంధర్,యుగంధార్,No
bigboss,బిగ్బాస్,బిగ్బోస్,No
kaayadam,కాయడం,కాయడం,Yes
bethlehem,బెత్లెహామ్,బెత్లెహేం,No
okadigaa,ఒకడిగా,ఒకడిగా,Yes
nammukuntunnaaro,నమ్ముకుంటున్నారో,నమ్ముకుంటున్నారో,Yes
aachanta,ఆచంట,ఆచంట,Yes
nilabadutunnaaru,నిలబడుతున్నారు,నిలబడుతున్నారు,Yes
vibedhaalu,విబేధాలు,విబేధాలు,Yes
shaasthravetthalatho,శాస్త్రవేత్తలతో,శాస్త్రవేత్తలతో,Yes
kalaraa,కలరా,కలరా,Yes
rojulugaa,రోజులుగా,రోజులుగా,Yes
palisetti,పలిశెట్టి,పలిశెట్టి,Yes
rakshanhagaa,రక్షణగా,రక్షణగా,Yes
uparitala,ఉపరితల,ఉపరితల,Yes
samarpana,సమర్పణ,సమర్పణ,Yes
vellinappu,వెళ్లినప్పు,వెళ్లినప్పు,Yes
vishvadaanhiraama,విశ్వదాభిరామ,విశ్వధానిరామా,No
chittashuddhiledaa,చిత్తశుద్ధిలేదా,చిత్తశుద్ధిలేద,No
buena,బ్యూనా,బూయానా,No
manasuni,మనసుని,మనసుని,Yes
rekettistaayi,రేకెత్తిస్తాయి,రెకెత్తిస్తాయి,No
barasat,బరసత్,బరసాత్,No
sultaanulu,సుల్తానులు,సుల్తానులు,Yes
puudika,పూడిక,పూడిక,Yes
delta,డెల్టా,దెల్టా,No
wek,వేక్,వెక్,No
ruussian,రష్యన్,రూసియన్,No
virani,విరాణి,విరాణి,Yes
staanlii,స్టాన్లీ,స్టాన్లీ,Yes
majeed,మజీద్,మజీీద్,No
punarnirmaana,పునర్నిర్మాణ,పునర్నిర్మాణ,Yes
yogulu,యోగులు,యోగులు,Yes
danville,డాన్విల్,దన్విల్లె,No
nirnayinchukunna,నిర్ణయించుకున్న,నిర్ణయించుకున్న,Yes
daarr,దార్,దార్,Yes
kadalakundaa,కదలకుండా,కదకలుండా,No
vishnuvu,విష్ణువు,విష్ణువు,Yes
chaubey,చౌబే,చౌబే,Yes
textiles,టెక్స్టైల్స్,టెక్స్టైల్స్,Yes
rajyamunu,రాజ్యమును,రాజ్యమును,Yes
carpentersville,కార్పెంటర్స్విల్లే,కార్పెంటర్సివ్ల్లో,No
stop,స్టాప్,స్టాప్,Yes
vahinchaaru,వహించారు,వహించారు,Yes
maddox,మడ్డాక్స్,మడ్్డక్స్,No
bodhistunnaayani,బోధిస్తున్నాయని,బోధిస్తున్నాయని,Yes
nagupame,నాగుపామే,నాగుపామే,Yes
rakshinchadaniki,రక్షించడానికి,రక్షించడానికి,Yes
troy,ట్రాయ్,ట్రోయ్,No
timken,టిమ్కెన్,టింకెన్,No
sarath,శరత్,సరాత్,No
duki,దూకి,దుకి,No
gabbhilam,గబ్బిలం,గభ్భిలం,No
itarsi,ఇటార్సి,ఇతర్సి,No
kaladii,కలదీ,కలదీ,Yes
wendt,వెంట్,వెండ్ట్,No
vidyaardhini,విద్యార్ధిని,విద్యార్ధిని,Yes
rahasyamgaa,రహస్యంగా,రహస్యంగా,Yes
teesukovaalanukuntundi,తీసుకోవాలనుకుంటుంద,తీసుకోవాలనుకుంటుంది,No
ninditula,నిందితుల,నిందితుల,Yes
vinipinchukuntunnaaru,వినిపించుకుంటున్నా,వినిపించుకుంటున్నారు,No
kalagachestunnaaru,కలగచేస్తున్నారు,కలగచేస్తున్నారు,Yes
puraathanamaina,పురాతనమైన,పురాధనమైన,No
dwaarakaa,ద్వారకా,ద్వారకా,Yes
raajamandri,రాజమండ్రి,రాజమంద్రి,No
yerpadataaniki,ఏర్పడటానికి,ఏర్పడటానికి,Yes
niroopinchagalamaa,నిరూపించగలమా,నిరూపించగలమా,Yes
erickson,ఎరిక్సన్,ఎరిక్సన్,Yes
yeppatinuncho,ఎప్పటినుంచో,ఏెప్పటినించు,No
khanna,ఖన్నా,ఖన్నా,Yes
jyothy,జ్యోతి,జ్యోతి,Yes
parihar,పరిహర్,పరిహార్,No
jajj,జాజ్,జా్జ్,No
choosukovaalippudu,చూసుకోవాలిప్పుడు,చూసుకోవాలిప్పుడు,Yes
bapuji,బాపూజీ,బాపుజి,No
roling,రోలింగ్,రోలింగ్,Yes
etara,ఇతర,ఎటారా,No
tagipotunnadi,తగిపోతున్నది,తగిపోతున్నది,Yes
viswasaniiyata,విశ్వసనీయత,విశ్వసనీయత,Yes
idukki,ఇడుక్కి,ఇదుక్కి,No
kondalaraayudike,కొండలరాయుడికే,కొందరలారుడికే,No
jaruputhoo,జరుపుతూ,జరుపుతూ,Yes
sdhalaanni,స్థలాన్ని,స్ధలాన్ని,No
bhratha,భరత,భృత,No
yajamanyalu,యాజమాన్యాలు,యజమాన్యలు,No
seeemgaa,సీఎంగా,సీమంగా,No
miranda,మిరాండా,మిరందా,No
angikarinchay,అంగీకరించే,అంగికరించాయ్,No
vithanam,విత్తనం,వితనం,No
prudhu,పృథు,పృధు,No
aarthikastomatalenivaaru,ఆర్థికస్తోమతలేనివా,ఆర్తికసొత్తనేేవారినవ,No
asthralu,అస్త్రాలు,ఆస్త్రాలు,No
duchukovaalsina,డుచుకోవాల్సిన,దుచుకోవాల్సిన,No
pradhananga,ప్రధానంగా,ప్రధానంగా,Yes
greenfield,గ్రీన్ఫీల్డ్,గ్రీన్ఫీల్డ్,Yes
valasi,వలసి,వలసి,Yes
estes,ఎస్టెస్,ఎస్టెస్,Yes
amaayaka,అమాయక,అమాయక,Yes
charchinchadaaniki,చర్చించడానికి,చర్చించడానికి,Yes
customs,కస్టమ్స్,క్యాటోమ్స్,No
mangla,మంగ్లా,మాంగ్లా,No
kover,కవర్,కోవర్,No
aandhrasarasvati,ఆంధ్రసరస్వతి,ఆంధ్రసరస్వతి,Yes
benitez,బెనిటెజ్,బెనిటెజ్,Yes
gagan,గగన్,గాన్,No
junction,జంక్షన్,జంక్షన్,Yes
unnaarantae,ఉన్నారంటే,ఉన్నారంటే,Yes
marchalani,మార్చాలని,మార్చాలని,Yes
evadiete,ఎవడైతే,ఎవడియేటే,No
darsi,దర్శి,దర్శి,Yes
pradarshinchetatuvanti,ప్రదర్శించేటటువంటి,ప్రదర్శించేటువంటి,No
waatchmen,వాచ్మెన్,వాట్చ్మెన్,No
careerlone,కెరీర్లోనే,కరీర్లోనే,No
raajamandrini,రాజమండ్రిని,రాజమంద్రిని,No
azeez,అజీజ్,అజీజ్,Yes
eagan,ఎగన్,ఈగన్,No
gurtunnanu,గుర్తున్నాను,గుర్తున్నాను,Yes
prajalloki,ప్రజల్లోకి,ప్రజల్లోకి,Yes
vyaakhyalato,వ్యాఖ్యలతో,వ్యాఖ్యలతో,Yes
teeyamani,తీయమని,తీయమని,Yes
dveepanni,ద్వీపాన్ని,ద్వీపన్ని,No
dvepanni,ద్వీపాన్ని,ద్వేపాన్ని,No
mandulanu,మందులను,మందులను,Yes
pampinchandi,పంపించండి,పంపించండి,Yes
malayalee,మలయాళ,మలయాలే,No
vibhudhi,విభూది,విభుధి,No
praveshinchenduku,ప్రవేశించేందుకు,ప్రవేశించేందుకు,Yes
gelipisthey,గెలిపిస్తే,గెలిపిస్తే,Yes
raalekapoyinatlu,రాలేకపోయినట్లు,రాలేకపోయినట్లు,Yes
viraalaalu,విరాళాలు,విరాళాలు,Yes
raman,రామన్,రామాన్,No
dearborn,డియర్బార్న్,డియర్బర్న్,No
icchaapuram,ఇచ్ఛాపురం,ఇచ్చాపురం,No
panjaab,పంజాబ్,పంజాబ్,Yes
pereddy,పెరెడ్డి,పెరెడ్డి,Yes
varma,వర్మ,వర్మ,Yes
rajkot,రాజ్కోట్,రాజ్కోట్,Yes
gangtok,గ్యాంగ్టోక్,గాంగ్టోక్,No
raayitho,రాయితో,రాయితో,Yes
siel,సీల్,సిల్ల్,No
redmond,రెడ్మొండ్,రీడ్మోండ్,No
shores,షోరేస్,షోర్స్,No
maggutunna,మగ్గుతున్న,మగ్గుతున్నా,No
naatadam,నాటడం,నాటడం,Yes
dundagulu,దుండగులు,దుంగగులు,No
chendhadamtoo,చెందడంతో,చెందడంతో,Yes
paryavekshinchaaru,పర్యవేక్షించారు,పర్యవేక్షించారు,Yes
varanasi,వారణాసి,వరణాిి,No
pooshinchinadi,పోషించినది,పోషించినది,Yes
theejasvini,తేజస్విని,తీజజ్విసి,No
yaantrikamiena,యాంత్రికమైన,యాంత్రికమైన,Yes
anuvadistunnadi,అనువదిస్తున్నది,అనువదిస్తున్నది,Yes
kutra,కుట్ర,కుత్రా,No
avabhruda,అవభృద,అవభ్రూడా,No
istunnaamani,ఇస్తున్నామని,ఇస్తున్నామని,Yes
dheshaabhivruddhiki,దేశాభివృద్ధికి,ధేశాభివృద్ధికి,No
bhujampai,భుజంపై,భుజంపై,Yes
nowgong,నౌగొంగ్,నౌగోంగ్,No
kareres,కరేరేస్,కరరేెస్,No
cerebra,సెరెబ్రా,సేరెబ్రా,No
dhivyamaina,దివ్యమైన,ధివ్యమైన,No
mandalamu,మండలము,మండలము,Yes
draupathi,ద్రౌపతి,ద్రూపతి,No
pottakooti,పొట్టకూటి,పొట్టకోటి,No
brownsville,బ్రౌన్స్విల్లే,బ్రౌవ్నిజ్వలల్లే,No
kamaneeyamga,కమనీయంగా,కమనీయంగా,Yes
santa,శాంటా,సంతా,No
dhaanyam,ధాన్యం,ధాన్యం,Yes
ink,ఇంక్,ఇన్క్,No
lynchburg,లించ్బర్గ్,లంచ్చబ్ర్గ్,No
thaalib,తాలిబ్,తాలిబ్,Yes
fleming,ఫ్లెమింగ్,ఫ్లైంగ్,No
bindal,బిండల్,బిండల్,Yes
shmashaanavaatika,శ్మశానవాటిక,శ్మష్నవాతిక,No
rasheed,రషీద్,రషీద్,Yes
thaagimdi,తాగింది,తాగింది,Yes
seattle,సియటెల్,సీట్ల్,No
khaidi,ఖైదీ,ఖైదీ,Yes
panchatantra,పంచతంత్ర,పంచటాంత్రా,No
kirthini,కీర్తిని,కిర్థిని,No
vidvaansudu,విద్వాంసుడు,విద్వాన్సుడు,No
chendadamtho,చెందడంతో,చెందడంతో,Yes
centennial,సెంటేనియల్,సెంటెన్నియల్,No
agarawal,అగర్వాల్,అగరవాల్,No
whittier,వైట్టియర్,విట్టీర్,No
priya,ప్రియ,ప్రియ,Yes
alayalu,ఆలయాలు,అలయాలు,No
priyadarshini,ప్రియదర్శిని,ప్రియదర్శిని,Yes
zanet,జానెట్,జానెట్,Yes
indianapolis,ఇండియానాపోలిస్,ఇండినాపాయిలోసి,No
anivaaryamgaa,అనివార్యంగా,అనివార్యంగా,Yes
agency,ఏజన్సీ,ఆజెన్సీ,No
prakatanalanu,ప్రకటనలను,ప్రకటనలను,Yes
mahapanditudu,మహాపండితుడు,మహాపండితుడు,Yes
laeraa,లేరా,లేరా,Yes
hajipur,హజిపుర్,హజజీపూర్,No
daantopaatu,దాంతోపాటు,దాంటోపాటు,No
ganistharu,గణిస్తారు,గణిస్తారు,Yes
merlinch,మెర్లించ్,మెర్లించ్,Yes
naadir,నాదిర్,నాదిర్,Yes
bodhimchindi,బోధించింది,బోధించింది,Yes
aalayyalu,ఆలయాలు,ఆలయ్యలు,No
juarez,జ్వారెజ్,జూరెజ్జ్,No
khatri,ఖత్రి,ఖత్రీ,No
pittsburgh,పిట్స్బర్గ్,పిట్ట్సుర్ఘ్,No
mogistunnaamani,మోగిస్తున్నామని,మోగిస్తున్నామని,Yes
le,లే,లేన్,No
kotturu,కొత్తూరు,కొత్తూరు,Yes
jeyuduyurugaata,జేయుదురుగాత,జేయుదురుగాత,Yes
karbonetlu,కార్బోనేటులు,కర్బోనెట్లు,No
coachella,కోచెల్లా,కొచెల్ల,No
mooseeki,మూసీకి,మూసీకి,Yes
opikagaa,ఓపికగా,ఒపికాగా,No
jauhari,జౌహరి,జౌహరి,Yes
kettering,కెట్టెరింగ్,కట్టరింగ్,No
mandhugaa,మందుగా,మంధుగా,No
togooru,తోగూరు,తోగోరు,No
moreno,మోరెనో,మొరెనో,No
jaat,జాట్,జాట్,Yes
keizer,కైజర్,కైజెర్,No
mayur,మయూర్,మాయూర్,No
spandinchaadu,స్పందించాడు,స్పందించాడు,Yes
maroka,మరోక,మరొక,No
mundhumaatalo,ముందుమాటలో,ముంధుమాటలో,No
kuuragayalanu,కూరగాయలను,కూరగాయలను,Yes
yuvatanu,యువతను,యువతను,Yes
praarambhinchandi,ప్రారంభించండి,ప్రారంభించండి,Yes
saralamga,సరళంగా,సరళంగా,Yes
nootilo,నూతిలో,నూటిలో,No
mahajan,మహాజన్,మహాజాన్,No
baajee,బాజీ,బాజీ,Yes
puttabotunnadanatu,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడనూ,No
renewables,రెన్వేబుల్స్,రెన్వబల్ల్స్,No
yuvatha,యువత,యువతా,No
vijayaalatho,విజయాలతో,విజయాలతో,Yes
starayid,స్టెరాయిడ్,స్తారయిడ్,No
bedford,బెడ్ఫోర్డ్,బెడ్ఫోర్డ్,Yes
nirvahinchalekapotondi,నిర్వహించలేకపోతోంద,నిర్వహించలేకపోతోంది,No
bedhirinattugaa,బెదిరినట్టుగా,బెధిరినట్టుగా,No
park,పార్క్,పార్క్,Yes
cheppavacchu,చెప్పవచ్చు,చెప్పవచ్చు,Yes
taagadaaniki,తాగడానికి,తాగడానికి,Yes
rajyaniki,రాజ్యానికి,రాజ్యానికి,Yes
varnamaala,వర్ణమాల,వర్ణమాల,Yes
kavarla,కవర్ల,కవర్ల,Yes
vyaktule,వ్యక్తులే,వ్యక్తులే,Yes
patishthamaina,పటిష్ఠమైన,పటిష్ఠమైన,Yes
controls,కంట్రోల్స్,కాంట్రాల్స్,No
roganni,రోగాన్ని,రోగాన్ని,Yes
vaayuvula,వాయువుల,వాయువుల,Yes
bomma,బొమ్మ,బొమ్మా,No
vaartathoo,వార్తతో,వార్తతో,Yes
bhadauriya,భదౌరియా,భదారియ,No
hodges,హోడ్జ్స్,హోడ్జెస్,No
lepinchaadu,లేపించాడు,లేపించాడు,Yes
bhagaswamulaku,భాగస్వాములకు,భాగస్వాములకు,Yes
cheppalekapoyaaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
cheyuchu,చేయుచు,చేయుచు,Yes
miramar,మిఱమాఱ్,మిరామార్,No
vaasudhevaraavu,వాసుదేవరావు,వాసుధేవరావు,No
