True Input,True Output,My Decoded Output,Matching or Not
nikorika,నీకోరిక,నికోరికా,No
antava,అంటావా,అంతవా,No
mokkubadigaane,మొక్కుబడిగానే,మొక్కుబడిగానే,Yes
chendhinadhe,చెందినదే,చేంధినదే,No
laatoomod,లాటూమోడ్,లాటోమోడ్,No
bharatpur,భరత్పూర్,భారతపూర్,No
patrikaloo,పత్రికలూ,పత్రికలో,No
kaavinchukunnaadu,కావించుకున్నాడు,కావించుకున్నాడు,Yes
veeriddharinee,వీరిద్దరినీ,వీరిధ్ధరినీ,No
punaruddharinchaaru,పునరుద్ధరించారు,పునరుద్ధరించారు,Yes
aavidhamgaa,ఆవిధంగా,ఆవిధంగా,Yes
phollow,ఫాలో,ఫోలోవ్,No
greene,గ్రీన్,గ్రీనే,No
aandhraloo,ఆంధ్రలో,ఆంధ్రలో,Yes
enteravutunnaaro,ఎంటరవుతున్నారో,ఎంతరరవుతున్నారో,No
collins,కాలిన్స్,కోలిన్స్,No
roy,రాయి,రోఫ్,No
nyaayavyavastha,న్యాయవ్యవస్థ,న్యాయవయ్యవస్య,No
bhagnam,భగ్నం,భాగ్నం,No
kozhikode,కోఝిగోడె,కోజికోడే,No
moesae,మోసే,మోసేస్,No
paerennika,పేరెన్నిక,పేరెన్నిక,Yes
mamda,మంద,మాండా,No
saripadani,సరిపడని,సరిపడని,Yes
goutamudu,గౌతముడు,గౌతముడు,Yes
kulila,కూలీల,కులిల,No
cheyavaddu,చేయవద్దు,చేయవద్దు,Yes
visugu,విసుగు,విసుగు,Yes
palatine,పాలటినే,పాలటినే,Yes
lifestyle,లైఫ్స్టైల్,లైపెస్టైల్,No
bhilai,భిలై,భిలై,Yes
desamunaku,దేశమునకు,దేశమునకు,Yes
sarasari,సరాసరి,సరాసరి,Yes
snow,స్నో,స్నోవ్,No
vaddagala,వద్దగల,వద్దగల,Yes
taamaraakulo,తామరాకులూ,తామరాకులో,No
lejarlatogaanee,లేజర్లతోగానీ,లేజర్లతోగానే,No
jaaj,జాజ్,జాజ్,Yes
siddhaamtamu,సిద్ధాంతము,సిద్ధాంతము,Yes
aenugulu,ఏనుగులు,ఎనుగులు,No
bottutho,బొట్టుతో,బొత్తుతో,No
sekrinchaaru,సేకరించారు,సెక్రించారు,No
vishwasaneeyangaa,విశ్వసనీయంగా,విశ్వసనీయంగా,Yes
varshamto,వర్షంతో,వర్షంతో,Yes
manthrika,మాంత్రిక,మంత్రిక,No
rudhrulaku,రుద్రులకు,రుధ్రులకు,No
amruthamee,అమృతమే,అమృతమే,Yes
maanipestolo,మానిపెస్టోలో,మానిపెస్టలో,No
shelton,షెల్టన్,షెల్టన్,Yes
varghese,వర్ఘెసే,వర్గేజీ,No
nelakondani,నెలకొందని,నెలకొందని,Yes
lohith,లోహిత్,లోహిత్,Yes
hinton,హింటన్,హింటన్,Yes
ludivik,లుడివిక్,లుడివిక్,Yes
chillara,చిల్లర,చిల్లారా,No
gilmore,జిల్మోర్,గిల్మోర్,No
tangirala,తంగిరాల,తంగిరాలా,No
raayitoo,రాయితో,రాయితో,Yes
jadhav,జాదవ్,జథావ్,No
high,హై,హిగ్,No
saarimchaadu,సారించాడు,సారించాడు,Yes
sruthi,శ్రుతి,సృతు,No
chelsea,చెల్సియా,చెల్సా,No
balaannivvadamto,బలాన్నివ్వడంతో,బలాన్నివ్వడంతో,Yes
bhusawal,భుసావల్,భుసావాల్,No
pramaanhaanni,ప్రమాణాన్ని,ప్రమానాన్ని,No
dispur,డిస్పుర్,డిస్పూర్,No
paramaatmaa,పరమాత్మా,పరమాత్మా,Yes
tarm,టర్మ్,టార్మ్,No
guha,గుహ,గుహా,No
rabbar,రబ్బర్,రబ్బార్,No
north,నార్త్,నోర్త్,No
bismarck,బిస్మర్క్,బిస్మార్క్,No
montgomery,మాంట్గామరీ,మాంగ్ోోమరీ,No
convention,కన్వెన్షన్,కన్వెన్్,No
yetara,యేతర,ఏటిరా,No
pondaevaaru,పొందేవారు,పొందేవారు,Yes
darshinchukuntunnaarani,దర్శించుకుంటున్నార,దర్శించుకుంటున్నారని,No
taggipotondannaaru,తగ్గిపోతోందన్నారు,తగ్గిపోతోందన్నారు,Yes
ray,రాయ్,రేరీ,No
atri,అట్రి,అత్రి,No
kamalaa,కమలా,కమలా,Yes
vidyaanubandha,విద్యానుబంధ,విద్యానుబంధ,Yes
bhagalay,భాగాలే,భగాలయ్,No
kalalanni,కలలన్నీ,కలలన్ని,No
maatlaadenduku,మాట్లాడేందుకు,మాట్లాడెందుకు,No
devalayamunu,దేవాలయమును,దేవాలయమును,Yes
vikendrikarana,వికేంద్రీకరణ,వికేంద్రికరణ,No
holt,హోల్ట్,హోల్ట్,Yes
muulangaane,మూలంగానే,మూలంగానే,Yes
praapthiki,ప్రాప్తికి,ప్రాప్తికి,Yes
daadulapai,దాడులపై,దాదులపై,No
mehrotra,మెహ్రోత్రా,మెహ్రోత్ర,No
saamraajyamu,సామ్రాజ్యము,సామ్రాజ్యము,Yes
barauni,బరౌని,బరాని,No
adugulona,అడుగులోన,అడుగులోనా,No
sheenu,శీను,షీను,No
ataher,అటహర్,అటార్,No
kuripinchindi,కురిపించింది,కురిపించింది,Yes
dhaariki,దారికి,ధారికి,No
lokamu,లోకము,లోకము,Yes
vyaktulatonu,వ్యక్తులతోను,వ్యక్తులతోనూ,No
surfactants,సర్ఫ్యాక్టెంట్స్,సర్ఫ్టాంట్్ట్స్,No
gorrey,గొర్రె,గోర్రీ,No
saalaakhaddoos,సాలాఖద్దూస్,సాలాభ్దడస్,No
randall,రందల్,రాండల్,No
tisukochhinattayindi,తీసుకొచ్చినట్టయింద,తిసుకొచ్చినట్టయింది,No
suryanarayana,సూర్యనారాయణ,సుర్యారాయణ,No
plantation,ప్లాంటేషన్,ప్లాటటననన్,No
pakshaniki,పక్షానికి,పక్షానికి,Yes
sanniveesha,సన్నివేశ,సన్నీవేష,No
puyallup,పూయల్లుప్,పుయాల్పూ,No
khaidila,ఖైదీల,ఖాదీల,No
vantakaalu,వంటకాలు,వంటకాలు,Yes
taralistunna,తరలిస్తున్న,తరలిస్తున్న,Yes
saran,సరాన్,సారన్,No
ikeji,ఇకెజి,ఇకేజి,No
vayuvula,వాయువుల,వాయువుల,Yes
kolukoleni,కోలుకోలేని,కోలుకోలేని,Yes
baahubalini,బాహుబలిని,బాహుబాలిని,No
baagugaa,బాగుగా,బాగుగా,Yes
vandutharu,వండుతారు,వండుతారు,Yes
hillsboro,హిల్స్బోరో,హిల్లబోరో,No
cover,కవర్,కోవర్,No
apakeerthi,అపకీర్తి,అపకీర్తి,Yes
wolf,వోల్ఫ్,వోఫ్ల్,No
pakshaaniki,పక్షానికి,పక్షానికి,Yes
murti,మూర్తి,ముర్తి,No
teesukuvastunnaadani,తీసుకువస్తున్నాడని,తీసుకువస్తున్నాడని,Yes
merta,మేర్త,మెర్తా,No
seamec,సీమెక్,సెమెక్,No
subex,సుబెక్స్,సుబెక్స్,Yes
pali,పాలీ,పలి,No
saanghika,సాంఘిక,సాంఘిక,Yes
dikk,డిక్,డిక్,Yes
mrutadehaalu,మృతదేహాలు,మృతదేహాలు,Yes
plainfield,ప్లైన్ఫీల్డ్,ప్లిన్ఫెల్డ్,No
mosley,మాస్లీ,మోస్లీ,No
kglu,కేజీలు,క్గ్లు,No
kashtapaddaayi,కష్టపడ్డాయి,కష్టపడ్డాయి,Yes
toliprema,తొలిప్రేమ,తోలిప్రేమ,No
zoin,జాయిన్,జోనిన్,No
thattukune,తట్టుకునే,తట్టుకునే,Yes
siggupadutunnattuga,సిగ్గుపడుతున్నట్టు,సిగ్గుపడుతున్నట్టుగా,No
yasukaa,యసుకా,యాుుకా,No
vaagu,వాగు,వాగు,Yes
fungal,ఫంగల్,ఫుంగల్,No
ruber,రబ్బర్,రుబర్,No
gowtam,గౌతమ్,గోవం,No
hrudayamlo,హృదయంలో,హృదయంలో,Yes
anvayinchevaaru,అన్వయించేవారు,అన్వయించేవారు,Yes
rutuvulo,ఋతువులో,రుతువులో,No
tootaalu,తూటాలు,తూతాలు,No
thomas,థామస్,తోమాస్,No
ethadu,ఈతడు,ఏతాడు,No
vaemula,వేముల,వేముల,Yes
saritha,సరిత,సరిత,Yes
bodhistundi,బోధిస్తుంది,బోధిస్తుంది,Yes
moody,మూడీ,మూడీ,Yes
mountain,మౌంటెయిన్,మౌంటైన్,No
asthvyastham,అస్తవ్యస్తం,ఆస్త్యస్థం,No
taragaalanu,తరంగాలను,తరగాలను,No
ballapie,బల్లపై,బల్లపై,Yes
praathipadhikagaa,ప్రాతిపదికగా,ప్రాతిపాధికగా,No
bite,బైట్,బిటి,No
ravuto,రావుతో,రావుతో,Yes
phederation,ఫెడరేషన్,ఫెడెరేషన్,No
kaavalisina,కావలిసిన,కావలిసిన,Yes
austrelia,ఆస్ట్రేలియా,ఆస్ట్రీలియా,No
arjunini,అర్జునిని,అర్జునిని,Yes
mathoo,మేథో,మతో,No
buena,బ్యూన,బుయూనా,No
march,మార్చ్,మార్చ్,Yes
takeovar,టేకోవర్,తాకోవర్,No
nivaasaaniki,నివాసానికి,నివాశానికి,No
agniloo,అగ్నిలో,అగ్నిలో,Yes
pleasant,ప్లెజెంట్,ప్లాసెంట్,No
mendez,మెండెజ్,మెందెజ్,No
nadachi,నడచి,నడచి,Yes
choopinchalekapovadame,చూపించలేకపోవడమే,చూపించలేకపోవడమే,Yes
nimpukoleni,నింపుకోలేని,నింపుకోలేని,Yes
vishayamlone,విషయంలోనే,విషయంలోనే,Yes
yellaku,ఏళ్లకు,యల్లకు,No
bernard,బెర్నార్డ్,బెనరన్డ్,No
suukthi,సూక్తి,సూక్తి,Yes
nimishamloo,నిమిషంలో,నిమిశంలో,No
pilippi,పిలిప్పి,పిలిప్పి,Yes
waykos,వేకొస్,వాయోక్స్,No
pruthu,పృథు,పృతు,No
gokaldas,గోకల్దాస్,గోకాల్ాాాస్,No
lohiyaa,లోహియా,లోహియా,Yes
kane,కేన్,కానే,No
mv,ఎంవీ,మిఎం,No
nayakudini,నాయకుడిని,నాయకుడిని,Yes
cheppe,చెప్పే,చెప్పే,Yes
daarilone,దారిలోనే,దారిలోనే,Yes
jimy,జిమ్మీ,జిమి,No
dasalavarigaa,దశలవారీగా,దశలవరిగా,No
padaledu,పడలేదు,పదలేదు,No
malekar,మలేకర్,మలలేకర్,No
charitraatmaka,చరిత్రాత్మక,చరిత్రాత్మక,Yes
vishvaasa,విశ్వాస,విశ్వాస,Yes
noblesville,నోబుల్స్విల్,నొల్సెవ్లిల్,No
french,ఫ్రెంచ్,ఫ్రెంచ్,Yes
cheinchi,చేయించి,చేయించి,Yes
lemu,లేము,లేము,Yes
bhoolookamloo,భూలోకంలో,భూలోకంలో,Yes
charchinchaaru,చర్చించారు,చర్చించారు,Yes
punarnirmaanaaniki,పునర్నిర్మాణానికి,పునర్నిర్మానికినాకి,No
undenu,ఉండెను,ఉండెను,Yes
egiripadutunnaayi,ఎగిరెగిరిపడుతున్నా,ఎగిరిపడుతున్నాయి,No
evochchindi,ఏవొచ్చింది,ఏవొచ్చింది,Yes
idelluga,ఐదేళ్లుగా,ఐడేళ్లుగా,No
puvvulathoo,పువ్వులతో,పువ్వులతో,Yes
vruthakara,వృత్తాకార,వృతాకర,No
dadra,దాద్రా,దాద్రా,Yes
raktamu,రక్తము,రక్తము,Yes
ventura,వెంచురా,వెంటురా,No
tanaviga,తనవిగా,తనవిగా,Yes
avutunnaa,అవుతున్నా,అవుతున్నా,Yes
madhubani,మధుబని,మాధుబని,No
saralamaina,సరళమైన,సరలమైన,No
mart,మార్ట్,మార్ట్,Yes
tappukuntunnattu,తప్పుకుంటున్నట్టు,తప్పుకుంటున్నట్టు,Yes
aadesinchadam,ఆదేశించడం,ఆదేశించడం,Yes
praveenchand,ప్రవీణ్చంద్,ప్రవీంచంద్,No
austin,ఆస్టిన్,ఆసిటిన్,No
siddhaantamunu,సిద్ధాంతమును,సిద్ధాంతమును,Yes
navambarulo,నవంబరులో,నవంారులో,No
poostarlu,పోస్టర్లు,పూస్టార్లు,No
ghanibhavinnchina,ఘనీభవించిన,ఘనిభవించిన,No
bedirinattugaa,బెదిరినట్టుగా,బెదిరినట్టుగా,Yes
chikkullo,చిక్కుల్లో,చిక్కుల్లో,Yes
iddariloonuu,ఇద్దరిలోనూ,ఇద్దరిలోనూ,Yes
sambhaashanhalaloo,సంభాషణలలో,సంభాషణలలో,Yes
kottaata,కొట్టాట,కొత్తాత,No
pindaniki,పిండానికి,పిందనికి,No
manthrulatho,మంత్రులతో,మంతృతలో,No
mukthyala,ముక్త్యాల,ముక్త్యాలా,No
paramaathmanu,పరమాత్మను,పరమాత్మను,Yes
murrieta,ముర్రియేటా,ముర్రిట,No
clicq,క్లిక్,క్లిక్,Yes
buutakapu,బూటకపు,బూతకపు,No
sandharbhamugaa,సందర్భముగా,సందర్భముగా,Yes
chaduvuthu,చదువుతూ,చదువుతూ,Yes
sandhinchukuntunnaaru,సంధించుకుంటున్నారు,సంధించుకుంటున్నారు,Yes
vidhyaardhinii,విద్యార్థినీ,విధ్యార్ధినీ,No
yugamdhar,యుగంధర్,యుగంధార్,No
bigboss,బిగ్బాస్,బిగ్బోస్,No
kaayadam,కాయడం,కాయడం,Yes
bethlehem,బెత్లెహామ్,బెత్లేహెం,No
okadigaa,ఒకడిగా,ఒకడిగా,Yes
nammukuntunnaaro,నమ్ముకుంటున్నారో,నమ్ముకుంటున్నారో,Yes
aachanta,ఆచంట,ఆచంత,No
nilabadutunnaaru,నిలబడుతున్నారు,నిలబడుతున్నారు,Yes
vibedhaalu,విబేధాలు,విబేధాలు,Yes
shaasthravetthalatho,శాస్త్రవేత్తలతో,శాస్త్రవేతతలతో,No
kalaraa,కలరా,కలరారా,No
rojulugaa,రోజులుగా,రోజులుగా,Yes
palisetti,పలిశెట్టి,పలిశెట్టి,Yes
rakshanhagaa,రక్షణగా,రక్షణగా,Yes
uparitala,ఉపరితల,ఉపరితాల,No
samarpana,సమర్పణ,సమర్పన,No
vellinappu,వెళ్లినప్పు,వెళ్లినప్పు,Yes
vishvadaanhiraama,విశ్వదాభిరామ,విశ్వాానిరామా,No
chittashuddhiledaa,చిత్తశుద్ధిలేదా,చిత్తశుల్ధిలేదా,No
buena,బ్యూనా,బుయూనా,No
manasuni,మనసుని,మనసుని,Yes
rekettistaayi,రేకెత్తిస్తాయి,రేకెత్తిస్తాయి,Yes
barasat,బరసత్,బరాసత్,No
sultaanulu,సుల్తానులు,సుల్తానులు,Yes
puudika,పూడిక,పూడిక,Yes
delta,డెల్టా,డెల్తా,No
wek,వేక్,వేక్,Yes
ruussian,రష్యన్,రూసియన్,No
virani,విరాణి,విరానీ,No
staanlii,స్టాన్లీ,స్టాన్లీ,Yes
majeed,మజీద్,మజీద్,Yes
punarnirmaana,పునర్నిర్మాణ,పునర్నిర్మాణ,Yes
yogulu,యోగులు,యోగులు,Yes
danville,డాన్విల్,డన్విల్లే,No
nirnayinchukunna,నిర్ణయించుకున్న,నిర్ణయించుకున్న,Yes
daarr,దార్,డార్ర్,No
kadalakundaa,కదలకుండా,కదలకుండా,Yes
vishnuvu,విష్ణువు,విష్ణువు,Yes
chaubey,చౌబే,చాబుయ్,No
textiles,టెక్స్టైల్స్,టెక్టిల్స్,No
rajyamunu,రాజ్యమును,రాజ్యమును,Yes
carpentersville,కార్పెంటర్స్విల్లే,కార్పెటర్స్విల్లే,No
stop,స్టాప్,స్టోప్,No
vahinchaaru,వహించారు,వహించారు,Yes
maddox,మడ్డాక్స్,మాడాడ్స్,No
bodhistunnaayani,బోధిస్తున్నాయని,బోధిస్తున్నాయని,Yes
nagupame,నాగుపామే,నాగుపమే,No
rakshinchadaniki,రక్షించడానికి,రక్షించడానికి,Yes
troy,ట్రాయ్,ట్రోయ్,No
timken,టిమ్కెన్,టింకెన్,No
sarath,శరత్,సరత్,No
duki,దూకి,డుకి,No
gabbhilam,గబ్బిలం,గబ్బాలం,No
itarsi,ఇటార్సి,ఇటార్సి,Yes
kaladii,కలదీ,కలాదీ,No
wendt,వెంట్,వెంట్డ్ట్,No
vidyaardhini,విద్యార్ధిని,విద్యార్ధిని,Yes
rahasyamgaa,రహస్యంగా,రహస్యంగా,Yes
teesukovaalanukuntundi,తీసుకోవాలనుకుంటుంద,తీసుకోవాలనుకుంటుంది,No
ninditula,నిందితుల,నిందితుల,Yes
vinipinchukuntunnaaru,వినిపించుకుంటున్నా,వినిపించుకుంటున్నారు,No
kalagachestunnaaru,కలగచేస్తున్నారు,కలగచేస్తున్నారు,Yes
puraathanamaina,పురాతనమైన,పురాణమైన,No
dwaarakaa,ద్వారకా,ద్వారకా,Yes
raajamandri,రాజమండ్రి,రాజమంద్రి,No
yerpadataaniki,ఏర్పడటానికి,యూర్పడటానికి,No
niroopinchagalamaa,నిరూపించగలమా,నిరూపించగలమా,Yes
erickson,ఎరిక్సన్,ఎరిక్సన్,Yes
yeppatinuncho,ఎప్పటినుంచో,యెప్పటినుంచో,No
khanna,ఖన్నా,ఖాన్నా,No
jyothy,జ్యోతి,జ్యోతి,Yes
parihar,పరిహర్,పరిహార్,No
jajj,జాజ్,జజ్జ్,No
choosukovaalippudu,చూసుకోవాలిప్పుడు,చూసుకోవాలిప్పుడు,Yes
bapuji,బాపూజీ,బాపుజి,No
roling,రోలింగ్,రోలింగ్,Yes
etara,ఇతర,ఏటారా,No
tagipotunnadi,తగిపోతున్నది,తగిపోతున్నది,Yes
viswasaniiyata,విశ్వసనీయత,విశ్వనసితయయత,No
idukki,ఇడుక్కి,ఇదుక్కి,No
kondalaraayudike,కొండలరాయుడికే,కొండాలరాడుకి,No
jaruputhoo,జరుపుతూ,జరుపూతో,No
sdhalaanni,స్థలాన్ని,స్ధాలాన్ని,No
bhratha,భరత,భ్రత,No
yajamanyalu,యాజమాన్యాలు,యాజమన్యలు,No
seeemgaa,సీఎంగా,సీగంగా,No
miranda,మిరాండా,మిరంద,No
angikarinchay,అంగీకరించే,అంగీకరించాయి,No
vithanam,విత్తనం,వితనం,No
prudhu,పృథు,పృదు,No
aarthikastomatalenivaaru,ఆర్థికస్తోమతలేనివా,ఆర్థికమేమతతులివేమారు,No
asthralu,అస్త్రాలు,అస్త్రాలు,Yes
duchukovaalsina,డుచుకోవాల్సిన,దుచుకోవాల్సిన,No
pradhananga,ప్రధానంగా,ప్రధానంగా,Yes
greenfield,గ్రీన్ఫీల్డ్,గ్రీనీఫ్ల్,No
valasi,వలసి,వాలసి,No
estes,ఎస్టెస్,ఎస్టెస్,Yes
amaayaka,అమాయక,అమాయక,Yes
charchinchadaaniki,చర్చించడానికి,చర్చించడానికి,Yes
customs,కస్టమ్స్,కస్టామ్స్,No
mangla,మంగ్లా,మాంగ్ల,No
kover,కవర్,కోవర్,No
aandhrasarasvati,ఆంధ్రసరస్వతి,ఆంధ్రరస్వతి,No
benitez,బెనిటెజ్,బెనిటెజ్,Yes
gagan,గగన్,గగన్,Yes
junction,జంక్షన్,జనక్షన్,No
unnaarantae,ఉన్నారంటే,ఉన్నారంటే,Yes
marchalani,మార్చాలని,మార్చలని,No
evadiete,ఎవడైతే,ఎవడియేట్,No
darsi,దర్శి,దార్సీ,No
pradarshinchetatuvanti,ప్రదర్శించేటటువంటి,ప్రదర్శించుుతవంతి,No
waatchmen,వాచ్మెన్,వాంచె్న్,No
careerlone,కెరీర్లోనే,క్రార్లోనే,No
raajamandrini,రాజమండ్రిని,రామాంంద్రిని,No
azeez,అజీజ్,అజీజ్,Yes
eagan,ఎగన్,ఈగన్,No
gurtunnanu,గుర్తున్నాను,గుర్తున్నాను,Yes
prajalloki,ప్రజల్లోకి,ప్రజల్లోకి,Yes
vyaakhyalato,వ్యాఖ్యలతో,వ్యాఖ్యలతో,Yes
teeyamani,తీయమని,తీయమని,Yes
dveepanni,ద్వీపాన్ని,ద్వీపన్ని,No
dvepanni,ద్వీపాన్ని,ద్వేపాన్ని,No
mandulanu,మందులను,మండులను,No
pampinchandi,పంపించండి,పంపించండి,Yes
malayalee,మలయాళ,మలయాలే,No
vibhudhi,విభూది,విభుధి,No
praveshinchenduku,ప్రవేశించేందుకు,ప్రవేషించేందుకు,No
gelipisthey,గెలిపిస్తే,గెలిపిస్తే,Yes
raalekapoyinatlu,రాలేకపోయినట్లు,రాలేకపోయినట్లు,Yes
viraalaalu,విరాళాలు,విరాళాలు,Yes
raman,రామన్,రామన్,Yes
dearborn,డియర్బార్న్,డీబర్బోర్న్,No
icchaapuram,ఇచ్ఛాపురం,ఇచ్చాపురం,No
panjaab,పంజాబ్,పం్ాా్,No
pereddy,పెరెడ్డి,పెరెడ్డి,Yes
varma,వర్మ,వర్మా,No
rajkot,రాజ్కోట్,రాజ్కోట్,Yes
gangtok,గ్యాంగ్టోక్,గాంట్కోక్,No
raayitho,రాయితో,రాయితో,Yes
siel,సీల్,సిల్,No
redmond,రెడ్మొండ్,రెడ్మోండ్,No
shores,షోరేస్,షోరెస్,No
maggutunna,మగ్గుతున్న,మగ్గుతున్న,Yes
naatadam,నాటడం,నాటడం,Yes
dundagulu,దుండగులు,దుండగులు,Yes
chendhadamtoo,చెందడంతో,చేందోడంతో,No
paryavekshinchaaru,పర్యవేక్షించారు,పర్యవేక్షించారు,Yes
varanasi,వారణాసి,వరణాసి,No
pooshinchinadi,పోషించినది,పోషించినది,Yes
theejasvini,తేజస్విని,తీజస్విని,No
yaantrikamiena,యాంత్రికమైన,యాంత్రికమైన,Yes
anuvadistunnadi,అనువదిస్తున్నది,అనువదిస్తున్నది,Yes
kutra,కుట్ర,కుట్రా,No
avabhruda,అవభృద,అవభ్రుడ,No
istunnaamani,ఇస్తున్నామని,ఇస్తున్నామని,Yes
dheshaabhivruddhiki,దేశాభివృద్ధికి,దేశభ్విరృద్ధికి,No
bhujampai,భుజంపై,భుజంపై,Yes
nowgong,నౌగొంగ్,నావోంగ్,No
kareres,కరేరేస్,కరెర్స్,No
cerebra,సెరెబ్రా,సెరెబ్రా,Yes
dhivyamaina,దివ్యమైన,ధివ్యమైన,No
mandalamu,మండలము,మందలము,No
draupathi,ద్రౌపతి,ద్రూపతి,No
pottakooti,పొట్టకూటి,పొట్టకూటి,Yes
brownsville,బ్రౌన్స్విల్లే,బ్రాన్స్విల్లే,No
kamaneeyamga,కమనీయంగా,కమనీయంగా,Yes
santa,శాంటా,సాంతా,No
dhaanyam,ధాన్యం,ధాన్యం,Yes
ink,ఇంక్,ఇంక్,Yes
lynchburg,లించ్బర్గ్,లింగ్బర్గ్,No
thaalib,తాలిబ్,తాలిబ్,Yes
fleming,ఫ్లెమింగ్,ఫ్లమింగ్,No
bindal,బిండల్,బిండల్,Yes
shmashaanavaatika,శ్మశానవాటిక,శేమానవాతిక,No
rasheed,రషీద్,రాీద్,No
thaagimdi,తాగింది,తాగింది,Yes
seattle,సియటెల్,సీట్ల్,No
khaidi,ఖైదీ,ఖాీది,No
panchatantra,పంచతంత్ర,పంచాతంత్ర,No
kirthini,కీర్తిని,కిర్తిని,No
vidvaansudu,విద్వాంసుడు,విద్వాంసుడు,Yes
chendadamtho,చెందడంతో,చెండడంతో,No
centennial,సెంటేనియల్,సెంటనన్షియల్,No
agarawal,అగర్వాల్,అగరావాల్,No
whittier,వైట్టియర్,విట్టియర్,No
priya,ప్రియ,ప్రియా,No
alayalu,ఆలయాలు,అలాయలు,No
priyadarshini,ప్రియదర్శిని,ప్రియదర్షిని,No
zanet,జానెట్,జనెట్,No
indianapolis,ఇండియానాపోలిస్,ఇండియానోలిస్,No
anivaaryamgaa,అనివార్యంగా,అనివార్యంగా,Yes
agency,ఏజన్సీ,అజెన్సీ,No
prakatanalanu,ప్రకటనలను,ప్రకటనలను,Yes
mahapanditudu,మహాపండితుడు,మహాపండితుడు,Yes
laeraa,లేరా,లేరా,Yes
hajipur,హజిపుర్,హాజిపూర్,No
daantopaatu,దాంతోపాటు,దాంతోపాటు,Yes
ganistharu,గణిస్తారు,గణిస్తారు,Yes
merlinch,మెర్లించ్,మెర్లించ్,Yes
naadir,నాదిర్,నాదిర్,Yes
bodhimchindi,బోధించింది,బోధించింది,Yes
aalayyalu,ఆలయాలు,ఆలయ్యాలు,No
juarez,జ్వారెజ్,జారేజ్,No
khatri,ఖత్రి,ఖాత్రి,No
pittsburgh,పిట్స్బర్గ్,పిట్టుస్బర్గ్,No
mogistunnaamani,మోగిస్తున్నామని,మోగిస్తున్నామని,Yes
le,లే,లెఎ,No
kotturu,కొత్తూరు,కొత్తూరు,Yes
jeyuduyurugaata,జేయుదురుగాత,జేయుదురురుగాత,No
karbonetlu,కార్బోనేటులు,కర్బొనెట్లు,No
coachella,కోచెల్లా,కోలచ్ల,No
mooseeki,మూసీకి,మూసీకి,Yes
opikagaa,ఓపికగా,ఒపికగా,No
jauhari,జౌహరి,జాహరి,No
kettering,కెట్టెరింగ్,కెటెరెంగ్,No
mandhugaa,మందుగా,మందుగా,Yes
togooru,తోగూరు,తోగోరు,No
moreno,మోరెనో,మోరెనో,Yes
jaat,జాట్,జాత్,No
keizer,కైజర్,కీజెర్,No
mayur,మయూర్,మయూర్,Yes
spandinchaadu,స్పందించాడు,స్పందించాడు,Yes
maroka,మరోక,మరోకా,No
mundhumaatalo,ముందుమాటలో,ముంధుమాటలో,No
kuuragayalanu,కూరగాయలను,కూరగాయలను,Yes
yuvatanu,యువతను,యువతను,Yes
praarambhinchandi,ప్రారంభించండి,ప్రారంభించండి,Yes
saralamga,సరళంగా,సరలాంగా,No
nootilo,నూతిలో,నూటిలో,No
mahajan,మహాజన్,మహాజన్,Yes
baajee,బాజీ,బాజీ,Yes
puttabotunnadanatu,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడనూ,No
renewables,రెన్వేబుల్స్,రినెవాల్స్,No
yuvatha,యువత,యువత,Yes
vijayaalatho,విజయాలతో,విజయాలతో,Yes
starayid,స్టెరాయిడ్,స్తారయిద్,No
bedford,బెడ్ఫోర్డ్,బెడ్ఫోర్డ్,Yes
nirvahinchalekapotondi,నిర్వహించలేకపోతోంద,నిర్వహించలేకపోతోంది,No
bedhirinattugaa,బెదిరినట్టుగా,బెధిరినట్టుగా,No
park,పార్క్,పార్క్,Yes
cheppavacchu,చెప్పవచ్చు,చెప్పవచ్చు,Yes
taagadaaniki,తాగడానికి,తాగడానికి,Yes
rajyaniki,రాజ్యానికి,రాజ్యానికి,Yes
varnamaala,వర్ణమాల,వర్ణమాల,Yes
kavarla,కవర్ల,కవరర్ల,No
vyaktule,వ్యక్తులే,వ్యక్తులే,Yes
patishthamaina,పటిష్ఠమైన,పటిష్టమైన,No
controls,కంట్రోల్స్,కాంటోర్ల్స్,No
roganni,రోగాన్ని,రోగన్ని,No
vaayuvula,వాయువుల,వాయువుల,Yes
bomma,బొమ్మ,బొమ్మా,No
vaartathoo,వార్తతో,వార్తతో,Yes
bhadauriya,భదౌరియా,భాదారియ,No
hodges,హోడ్జ్స్,హోడ్జెస్,No
lepinchaadu,లేపించాడు,లేపించాడు,Yes
bhagaswamulaku,భాగస్వాములకు,భాగస్వాములకు,Yes
cheppalekapoyaaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు,Yes
cheyuchu,చేయుచు,చేయుచు,Yes
miramar,మిఱమాఱ్,మిరామర్,No
vaasudhevaraavu,వాసుదేవరావు,వాసుదేరావు,No
dharanu,ధరను,ధరనను,No
kaastunnattundi,కాస్తున్నట్టుంది,కాస్తున్నట్టుంది,Yes
ganapathy,గణపతి,గణపతి,Yes
raangaguvaa,రాంగగువా,రాంగగువా,Yes
ketuvaa,కేతువా,కెటువా,No
uuhaatmaka,ఊహాత్మక,ఊహాత్మక,Yes
